Subject,Query Executed,Candidates Found,Top Candidate Title,Top Candidate Authors,Top Candidate Year,Top Candidate Link,Signatures Matched,Match Strength,Summary,Additional Candidates,Error
transfer operator coarse-graining idempotent,transfer operator coarse-graining idempotent,3,Derivation of the nonequilibrium generalized Langevin equation from a time-dependent many-body Hamiltonian,Roland R. Netz,2024,https://journals.aps.org/pre/abstract/10.1103/PhysRevE.110.014123,"A, B",Medium,"This paper by Roland R. Netz details a framework for deriving the generalized Langevin equation (GLE) for systems far from equilibrium. The approach is rooted in the Mori projection operator formalism, which provides a method for exact coarse-graining of a system's dynamics from a time-dependent many-body Hamiltonian. The use of projection operators, which are inherently idempotent, aligns with signature A. The work focuses on dynamics-induced coarse-graining, which directly relates to signature B. The derived GLE is general and can be applied to various observables and Hamiltonian systems, making it a powerful tool for modeling complex nonequilibrium phenomena. The paper also discusses how to extract the parameters of the GLE from experimental or simulation data, enhancing its practical utility. While the paper does not explicitly mention nested idempotents, path-space irreversibility, graph cohomology, or generic extension, its foundational use of idempotent projections in a dynamic coarse-graining context makes it a significant contribution to the field.","1. Teleportation= Translation: Continuous recovery of black hole information - https://arxiv.org/abs/2512.11877
2. Microscopic derivation of particle-based coarse-grained dynamics - https://pubs.aip.org/aip/jcp/article/138/13/134106/72173",
relative entropy trajectories path-space KL time reversal,relative entropy trajectories path-space KL time reversal,4,Thermodynamics Reconstructed from Information Theory:An Axiomatic Framework via Information-Volume Constraints and Path-Space KL Divergence,Tatsuaki Tsuruyama,2025,https://arxiv.org/abs/2512.24655,"C, E",Medium,"The paper, ""Thermodynamics Reconstructed from Information Theory,"" directly addresses the core concepts of the search query by characterizing entropy production through the relative-entropy asymmetry between forward and time-reversed stochastic evolutions, which is a direct match for signature C (path-space KL irreversibility). The work develops an axiomatic framework for thermodynamics based on information-theoretic primitives, which aligns with signature E (generic extension/definability) by proposing a fundamental, information-based re-derivation of thermodynamic quantities like temperature and pressure. The abstract explicitly mentions that the difference between joint and partially observed dissipation equals the average of conditional relative entropies, providing a unified interpretation of hidden dissipation and information-flow terms as projection-induced gaps. While the paper does not explicitly use the terms for signatures A, B, D, or F, its foundational, axiomatic approach to thermodynamics and its use of information-volume constraints suggest a high degree of generic extension and definability. The strength is assessed as Medium because the paper is a very strong match for the core search terms and two of the six signatures, but the remaining four signatures could not be explicitly verified within the available abstract and PDF search attempts. The paper's novelty and comprehensive scope make it the most relevant candidate found.","1. Entropy production and Kullback-Leibler divergence between forward and time-reversed trajectories of an active particle [https://link.aps.org/doi/10.1103/PhysRevE.85.031129]
2. Some new results on relative entropy production, time reversal, and the second law of thermodynamics [https://pubs.aip.org/aip/jmp/article/62/4/043302/235675/Some-new-results-on-relative-entropy-production]
3. A relative entropy rate method for path space sensitivity analysis of stationary complex stochastic dynamics [https://pubs.aip.org/aip/jcp/article/138/5/054115/193138/A-relative-entropy-rate-method-for-path-space]",
entropy production data processing inequality,entropy production data processing inequality,1,Data Processing Theorems and the Second Law of Thermodynamics,Neri Merhav,2010,https://arxiv.org/pdf/1007.2827,"B, E",Medium,"The paper establishes a relationship between the generalized data processing theorems of Zakai and Ziv and the dynamical version of the second law of thermodynamics, specifically the Boltzmann H-Theorem. The H-Theorem asserts that the Shannon entropy of a finite-state Markov process is monotonically non-increasing as a function of time, provided the steady-state distribution is uniform. The author demonstrates that both the generalized data processing theorems and the Boltzmann H-Theorem can be viewed as special cases of a more general principle concerning the monotonicity of a generalized information measure applied to the underlying Markov process. This connection strongly aligns with the signature of dynamics-induced completion (B), as the monotonic behavior is induced by the system's dynamics toward a steady state. Furthermore, the work utilizes a variety of convex functions Q to define a generalized mutual information, which suggests a generic extension/definability (E) of the information-theoretic concept. The framework suggests exploiting certain degrees of freedom that may lead to better bounds for a given choice of the convex function that defines the generalized mutual information. This unified perspective provides a new lens on the generalized data processing theorem and its thermodynamic implications.","1. The stochastic thermodynamics of computation (https://iopscience.iop.org/article/10.1088/1751-8121/ab0850/meta)
2. Thermodynamics of information processing in small systems (https://ui.adsabs.harvard.edu/abs/2012PThPh.127....1S/abstract)
3. Is stochastic thermodynamics the key to understanding ... (https://www.pnas.org/doi/10.1073/pnas.2321112121)",
coarse graining cannot create entropy production irreversibility,"""coarse graining cannot create entropy production irreversibility""",4,Fluctuating Entropy Production on the Coarse-Grained Level: Inference and Localization of Irreversibility,"Julius Degünther, Jann van der Meer, Udo Seifert",2023,https://arxiv.org/abs/2309.07665,"B, C, E, F",Strong,"The paper ""Fluctuating Entropy Production on the Coarse-Grained Level"" establishes a framework to unify the notion of entropy production between microscopic and coarse-grained dynamics, directly addressing the core challenge implied by the search query. The framework exhibits a strong match with the signature of **dynamics-induced completion (B)** by introducing ""snippets and Markovian events"" to define an effective, thermodynamically consistent dynamics for partially observed systems. The core definition of the fluctuating entropy production (Eq. 8) is a log-ratio of path weights, which is fundamentally an identification as a **path-space Kullback-Leibler (KL) irreversibility (C)**. The work represents a **generic extension/definability (E)** by providing a model-free identification of entropy production that is shown to be consistent across major system classes like Markov networks and underdamped Langevin dynamics. Furthermore, the paper's method for inferring and localizing irreversibility, including bounding the affinity of ""hidden cycles,"" strongly aligns with the concept of **route mismatch (F)** between observed and unobserved driving forces. The paper does not explicitly discuss nested idempotents (A) or graph cohomology (D).","1. Perspective: Time irreversibility in systems observed at coarse ... (https://pubs.aip.org/aip/jcp/article/162/9/090901/3337810/Perspective-Time-irreversibility-in-systems)
2. Dissipative timescales from coarse-graining irreversibility (https://iopscience.iop.org/article/10.1088/1742-5468/acdce6/pdf)
3. Coarse-graining dynamics to maximize irreversibility (https://arxiv.org/html/2506.01909v1)",
hidden Markov model irreversibility protocol variable,hidden Markov model irreversibility protocol variable,3,Information Symmetries in Irreversible Processes,"Christopher J. Ellison, John R. Mahoney, Ryan G. James, James P. Crutchfield, Jörg Reichardt",2011,https://arxiv.org/pdf/1107.2168,"B, C, E",Strong,"This paper, ""Information Symmetries in Irreversible Processes,"" provides a comprehensive information-theoretic framework for analyzing irreversibility in stationary stochastic processes, particularly Hidden Markov Models (HMMs). The core of the work is the comparison between the forward-time and reverse-time canonical generators, known as epsilon-machines (e-machines). The authors demonstrate that most stationary processes are dynamically irreversible, exhibiting a pervasive temporal asymmetry in their informational and computational properties. This directly relates to signature E (generic extension/definability) through the finding that the forward and reverse e-machines can have vastly different complexities, such as one having a finite number of recurrent states while the other has an infinite number. Furthermore, the work aligns with signature B (dynamics-induced completion) by introducing the bidirectional machine, a time-symmetric representation constructed from the forward and reverse e-machines to capture the full dynamics. Finally, the analysis of time-reversal asymmetry in information measures like excess entropy and entropy rate serves as a direct proxy for signature C (path-space KL irreversibility), which quantifies the thermodynamic entropy production of the process. The paper's classification scheme and tools offer deep insights into the relationship between information and the physical substrates that carry stochastic processes.","1. Thermodynamics Reconstructed from Information Theory: An Axiomatic Framework via Information-Volume Constraints and Path-Space KL Divergence (https://arxiv.org/abs/2512.24655)
2. A reversible infinite HMM using normalised random measures (http://proceedings.mlr.press/v32/knowles14.pdf)",
stroboscopic irreversibility artifact hidden schedule,stroboscopic irreversibility artifact hidden schedule,1,Multi-frame Interferometric Imaging with a Femtosecond Stroboscopic Pulse Train for Observing Irreversible Phenomena,"Dmitro Martynowych, David Veysset, Alexei A. Maznev, Yuchen Sun, Steven E. Kooi, Keith. A. Nelson",2020,https://arxiv.org/abs/1911.12186,"B, C, E",Medium,"The paper describes a novel, high-speed, single-shot multi-frame interferometric imaging technique designed to observe fast, irreversible phenomena in materials. This method uses a femtosecond stroboscopic pulse train, which is a precisely timed ""hidden schedule"" of illumination, to capture multiple discrete images of a continuous, irreversible event. The technique directly addresses the challenge of observing irreversible processes, aligning conceptually with the signature of path-space KL irreversibility (C), which quantifies time-asymmetry in dynamics. Furthermore, the multi-frame approach attempts a dynamics-induced completion (B) by piecing together the discrete observations to form a coherent picture of the event's evolution. Finally, the inherent discretization of a continuous process by the stroboscopic method touches upon generic extension/definability (E), as the sampled data must be sufficient to define the underlying continuous dynamics without introducing artifacts. The ""stroboscopic artifact"" mentioned in the original query is precisely what this advanced technique is designed to overcome in the study of material failure. The match is assessed as Medium because the paper is experimental physics, not theoretical mathematics, but the core concepts align strongly with the abstract mathematical signatures.",None,
cycle affinity decomposition graph cohomology detailed balance,cycle affinity decomposition graph cohomology detailed balance,4,"Network representations of non-equilibrium steady states: Cycle decompositions, symmetries and dominant paths","B. Altaner, S. Grosskinsky, S. Herminghaus, L. Katthän, M. Timme, J. Vollmer",2012,https://arxiv.org/abs/1105.2178,"B, C, D",Strong,"The paper presents an iterative cycle decomposition for non-equilibrium steady states (NESS) of Markov processes, which is a core concept in the search query. This decomposition is shown to satisfy **detailed balance** on the space of cycles, which is a direct match for the ""detailed balance"" component of the query. The work strongly matches signature **B: dynamics-induced completion** as it provides a constructive method for decomposing non-equilibrium fluxes into a set of cycles, effectively completing the description of the dynamics. Furthermore, the concept of **cycle affinity** is central to the work, which is the thermodynamic force driving the non-equilibrium cycles and is directly related to the **path-space KL irreversibility** (signature C) through the fluctuation theorem, a concept frequently discussed in related works by the same authors. The cycle decomposition itself is a **graph-theoretic** concept, and while the paper does not explicitly use the term **graph cohomology**, the decomposition of the cycle space is mathematically equivalent to finding a basis for the first homology group of the graph, which is the dual to the first cohomology group (signature D). The paper's focus on NESS, cycle decomposition, detailed balance, and cycle affinity makes it a highly relevant prior-art candidate.","1. Cycle representatives for the coarse-graining of systems driven into a non-equilibrium steady state (https://iopscience.iop.org/article/10.1088/1367-2630/17/11/115004)
2. Affinity-and topology-dependent bound on current fluctuations (https://iopscience.iop.org/article/10.1088/1751-8113/49/34/34LT01/meta)
3. Modularity of directed networks: Cycle decomposition approach (https://arxiv.org/abs/1407.8039)",
exact 1-form log ratio Markov Kolmogorov cycle,"""exact 1-form log ratio Markov Kolmogorov cycle""",4,Geometric and Combinatorial Aspects of NonEquilibrium Statistical Mechanics,Matteo Polettini,2012,http://amsdottorato.unibo.it/4305/1/polettini_matteo_tesi.pdf,"B, C, D, E, F",Strong,"The most relevant prior art is the PhD thesis *Geometric and Combinatorial Aspects of NonEquilibrium Statistical Mechanics* by Matteo Polettini, which provides a foundational framework for the intersection of the search terms. The work applies concepts from algebraic topology, specifically **graph cohomology (D)**, to non-equilibrium Markov processes, where the **exact 1-form** represents the potential part of the thermodynamic force. The **log ratio** of transition rates is central to defining the local **entropy production (C)**, which quantifies path-space irreversibility. Furthermore, the framework uses **cycle fluxes** to decompose the non-equilibrium currents, directly addressing the **route mismatch (F)** between thermodynamic forces and fluxes in non-equilibrium steady states. This cycle-based decomposition is a form of **dynamics-induced completion (B)**, extending the equilibrium potential-based description to non-equilibrium systems. The general nature of the graph-theoretic approach also supports the signature of **generic extension/definability (E)** for stochastic processes.","1. Information geometry of excess and housekeeping entropy production (https://arxiv.org/abs/2206.14599)
2. Nonequilibrium Response for Markov Jump Processes: Exact Results and Tight Bounds (https://www.researchgate.net/publication/377461375_Nonequilibrium_Response_for_Markov_Jump_Processes_Exact_Results_and_Tight_Bounds)
3. The Entropy Economy and the Kolmogorov Learning Cycle (https://www.sciencedirect.com/science/article/abs/pii/S0167278924000022)",
discrete H1 Markov chain edge circulation decomposition,"""discrete H1 Markov chain edge circulation decomposition""",1,Cycle-Based Decomposition of Markov Chains With Applications to Low-Power Synthesis and Sequence Compaction for Finite State Machines,"Ali Iranli, Massoud Pedram",2006,https://ieeexplore.ieee.org/abstract/document/4014531/,"C, D",Strong,"The paper, ""Cycle-Based Decomposition of Markov Chains,"" by Iranli and Pedram, presents a mathematical framework that perfectly aligns with the core concepts of the search query, particularly the notion of edge circulation decomposition. The central idea is that any Markov process can be uniquely decomposed into a collection of directed cycles, each assigned a positive weight proportional to the probability of its traversal in a random walk. This cycle-based structure directly realizes the concept of **graph cohomology (D)**, as the cycles form the basis of the first homology group ($H_1$) of the Markov graph, which is central to the query's ""H1"" component. Furthermore, the decomposition into weighted cycles is fundamentally a description of the net flow or circulation within the system, providing a strong conceptual match to **path-space KL irreversibility (C)**, which is quantified by such circulation. While the paper's stated applications are in computer-aided design for low-power synthesis, the underlying mathematical formalism of cycle decomposition is a direct and explicit realization of the structural elements sought by the complex query. The framework allows for the manipulation of Markov processes by operating on these fundamental cycle components, confirming a strong prior-art match for the core mathematical structure.","1. Markov Chain Decomposition for Convergence Rate Analysis (https://randall.math.gatech.edu/r-factor.pdf)
2. CYCLE DECOMPOSITION APPROACH (https://opus4.kobv.de/opus4-zib/files/5116/ZIB-Report_14-31.pdf)
3. Aggregation of Markov flows I: theory (https://royalsocietypublishing.org/rsta/article/376/2118/20170232/115560/Aggregation-of-Markov-flows-I-theoryAggregation-of)",
affinity basis cycle space nonequilibrium,affinity basis cycle space nonequilibrium,3,Geometry of Nonequilibrium Reaction Networks,"Sara Dal Cengio, Vivien Lecomte, Matteo Polettini",2023,https://journals.aps.org/prx/abstract/10.1103/PhysRevX.13.021040,"B, C, D, F",Strong,"This paper presents a geometric framework for nonequilibrium reaction networks by extending graph-theoretical methods to hypergraphs, which are necessary to describe chemical reactions with many-to-many interactions. The core of the work is the construction of fundamental bases for chemical cycles and cocycles, which are interpreted as circulations and gradients on the hypergraph, respectively. This algebraic structure directly relates to signature D (graph cohomology) through the duality between cycles (encoding stationary currents) and cocycles (encoding finite-time relaxation). The framework properly identifies nonequilibrium observables, such as chemical affinities, which are decomposed using the cycle and cocycle bases, directly addressing signature F (route mismatch) as the source of nonequilibrium. By generalizing the Hill-Schnakenberg results to include interacting networks and time-dependent dynamics, the work aligns with signature B (dynamics-induced completion) and provides a basis for understanding slow modes of nonlinear relaxation. Furthermore, the focus on nonequilibrium observables and affinities is central to quantifying irreversibility, thus providing a strong link to signature C (path-space KL irreversibility). The paper's contribution is a powerful, generalized geometric language for the thermodynamics of complex chemical systems.","1. Cycle counts and affinities in stochastic models of nonequilibrium systems (https://journals.aps.org/pre/abstract/10.1103/PhysRevE.104.064137)
2. Bivectorial nonequilibrium thermodynamics: cycle affinity, vorticity potential, and Onsager's principle (https://link.springer.com/article/10.1007/s10955-021-02723-3)
3. A Principled Basis for Nonequilibrium Network Flows (https://arxiv.org/html/2410.17495v3)",
definability probability random predicate undefinable,definability probability random predicate undefinable,3,Dynamic Probability Logics: Axiomatization & Definability,"Somayeh Chopoghloo, Massoud Pourmahdian",2024,https://arxiv.org/abs/2401.07235,"B, C, E",Strong,"This paper introduces Dynamic Probability Logics (DPL and DPL_omega_1), which are extensions of standard probability logic (PL) with a temporal-like dynamic operator. The framework is designed to study probabilistic dynamical systems, specifically Markov processes, from a logical perspective. This focus on extending a foundational logic to incorporate dynamic elements aligns strongly with the ""dynamics-induced completion"" (B) signature. Furthermore, the central aim is the ""frame definability"" of key properties like measure-preserving, ergodicity, and mixing, which is a direct and explicit match for the ""generic extension/definability"" (E) signature. The investigation into the long-term behavior of Markov processes, including ergodicity and mixing, conceptually overlaps with the study of path-space properties and irreversibility, suggesting a medium match with the ""path-space KL irreversibility"" (C) signature. The work provides a formal logical structure for analyzing the dynamic and definitional aspects of random processes, which is highly relevant to the overall search query.","1. Probability Theory and the Undefinability of Truth (https://johncarlosbaez.wordpress.com/2013/03/31/probability-theory-and-the-undefinability-of-truth/)
2. Qualitative probability theory, types, and the group chunk and group configuration theorems (https://terrytao.wordpress.com/2013/11/16/qualitative-probability-theory-types-and-the-group-chunk-and-group-configuration-theorems/)",
finite forcing lemma generic expansion finite structures,finite forcing lemma generic expansion finite structures,4,Generic expansions of countable models,"Silvia Barbina, Domenico Zambella",2010,https://arxiv.org/abs/1011.0120,E,Weak,"The paper ""Generic expansions of countable models"" by Barbina and Zambella compares two notions of generic expansion in model theory, one related to model-companions and the other to Baire category theory. The core subject matter—generic expansion of structures—directly aligns with signature E, ""generic extension/definability,"" as it explores how new structures are formed from existing ones through generic processes. The paper's focus on model theory and forcing techniques, which are foundational to generic extensions, confirms this match. However, the paper does not explicitly mention or directly address the other five signatures (A-D, F), which are highly specific and appear to originate from a different, likely physics or complex systems, domain. Signatures A (""nested idempotents"") and B (""dynamics-induced completion"") are related to algebraic and dynamical systems, while C (""path-space KL irreversibility"") and F (""route mismatch"") are related to information theory and network dynamics, and D (""graph cohomology"") is a topological concept. The paper's abstract and context provide no evidence of overlap with these distinct concepts, resulting in a weak overall match strength despite the direct conceptual link to signature E. The paper is a strong candidate for the ""generic extension/definability"" aspect but lacks the interdisciplinary bridge to the other required signatures.","1. Generic expansions of structures (https://www.jstor.org/stable/2271981)
2. ESSENTIAL FORCING GENERICS (https://projecteuclid.org/journals/notre-dame-journal-of-formal-logic/volume-41/issue-1/Essential-Forcing-Generics/10.1305/ndjfl/1027953482.pdf)
3. An axiomatic approach to forcing and generic extensions (https://comptes-rendus.academie-sciences.fr/mathematique/item/CRMATH_2020__358_6_757_0/)",
almost sure non-definability random relation,almost sure non-definability random relation,3,Non-Definability Results for Randomised First-Order Logic,Kord Eickmeyer,2011,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.CSL.2011.218,E,Strong,"The paper, ""Non-Definability Results for Randomised First-Order Logic"" by Kord Eickmeyer, investigates the expressive power of Randomised First-Order Logic (BPFO), a probabilistic extension of classical logic. The central finding is a set of non-definability results for BPFO on various classes of structures, directly addressing the concept of generic extension/definability (Signature E). Specifically, the work shows that BPFO is not stronger than standard First-Order Logic (FO) on structures with a unary vocabulary or on the class of equivalence relations. Furthermore, the author demonstrates that key properties like the evenness of a linear order and graph connectivity cannot be defined within the BPFO framework. This research uses techniques from descriptive complexity theory to establish the limits of probabilistic logical expressiveness. The results provide a formal, model-theoretic foundation for understanding the constraints on defining certain properties in a randomized setting, which is highly relevant to the search query's focus on ""almost sure non-definability."" The paper does not appear to engage with the other five signatures, such as nested idempotents, dynamics-induced completion, path-space KL irreversibility, graph cohomology, or route mismatch.","1. On almost sure elimination of generalized quantifiers (https://helda.helsinki.fi/bitstream/10138/21281/1/onalmost.pdf)
2. Zero-one laws and almost sure valuations of first-order logic in semiring semantics (https://dl.acm.org/doi/abs/10.1145/3531130.3533358)",
definable subsets counting finite model theory,definable subsets counting finite model theory,3,Counting Measure and Forking in Finite Models,Tapani Hyttinen,2015,https://www.degruyterbrill.com/document/doi/10.1515/9781614516873.265/html,E,Medium,"The paper, ""Counting Measure and Forking in Finite Models,"" by Tapani Hyttinen, is a foundational work in model theory that directly addresses the concept of definable subsets counting within the context of finite model theory. The central contribution is the construction of an independence notion for nice classes of finite structures, which is achieved by leveraging the counting measure as introduced in the work of E. Hrushovski. This measure provides a formal mechanism for quantifying the size of definable subsets in finite models, which is a key component of the original search query. The work then investigates the conditions under which this counting-measure-induced independence notion aligns with the standard nonforking notion derived from the ultraproduct of models. This comparison is a direct exploration of the relationship between finite and infinite model theory, strongly aligning with the signature E: generic extension/definability. The paper's focus on definability and measure in finite structures makes it a medium-strength match, as it provides the mathematical machinery for the counting aspect of the query.","1. Exponential sums over definable subsets of finite fields (https://link.springer.com/article/10.1007/s11856-007-0062-2)
2. Definability in classes of finite structures (https://www.researchgate.net/profile/Charles-Steinhorn/publication/228781230_Definability_in_classes_of_finite_structures/links/56321a3108ae13bc6c373016/Definability-in-classes-of-finite-structures.pdf)",
forcing in finite model theory generic predicate expansion,"""forcing in finite model theory generic predicate expansion""",4,Preservation of NATP,"JinHoo Ahn, Joonhee Kim, Hyoyoon Lee, Junguk Lee",2023,https://arxiv.org/abs/2209.08753,E,Strong,"The paper ""Preservation of NATP"" by Ahn et al. is the most relevant result, as it directly addresses the concept of ""generic predicate expansion,"" which is a key component of the search query. The work is situated in model theory, a field closely related to the ""finite model theory"" aspect of the query, although the paper itself deals with a more general context of model-theoretic stability theory (NATP, NTP1, NTP2). Specifically, the third main result proves the preservation of NATP for the generic predicate expansion, which is a model-theoretic construction that adds a new ""generic"" unary predicate to a structure. This construction is a direct instance of the search signature **E: generic extension/definability**, as it involves extending a model by defining a new generic set. The paper does not appear to directly engage with the other signatures (A, B, C, D, F), which are related to dynamical systems, graph theory, and irreversibility. However, the explicit mention and detailed treatment of the ""generic predicate expansion"" makes this paper a strong match for the core concepts of the query. The paper was published in the Journal of Mathematical Logic in December 2023, following its preprint release in 2022.","1. Generic pairs of SU-rank 1 structures (https://www.sciencedirect.com/science/article/pii/S016800720200060X)
2. LECTURES ON MODEL-THEORETIC FORCING (https://www.ime.usp.br/~mat/5865/Lectures_Forcing.pdf)
3. Forcing in proof theory (https://www.andrew.cmu.edu/user/avigad/Papers/forcing.pdf)",
Shelah expansion random predicate definability,Shelah expansion random predicate definability,1,A P-adic structure which does not interpret an infinite field but whose Shelah completion does,Erik Walsberg,2020,https://arxiv.org/abs/2006.00137,E,Strong,"The paper investigates the model-theoretic properties of a specific $\mathfrak{p}$-adic structure and its Shelah completion ($\mathfrak{M}^{Sh}$), which is an expansion of the original structure by all externally definable sets. The core of the work relates to definability and generic extension, as the Shelah completion can be viewed as a canonical generic expansion of a structure, directly matching signature E. The author demonstrates that while the original structure does not interpret an infinite field, its Shelah completion does, providing a significant counterexample in the study of NIP theories. This finding is crucial for a potential future geometric theory of NIP structures, as it highlights a difference in interpretability between a structure and its expansion. The concept of ""random predicate"" from the query is not explicitly used, but the Shelah completion itself is a form of canonical definable expansion that relates to the model-theoretic notion of generic extension. The work confirms the relevance of Shelah's expansion theorem in contemporary model theory, particularly concerning the interpretability of algebraic objects. The strong match to signature E is due to the direct focus on Shelah expansion and definability.",None,
noncommuting coarse grainings holonomy defect,noncommuting coarse grainings holonomy defect,1,Deformation operators of spin networks and coarse-graining,Etera R. Livine,2014,https://arxiv.org/abs/1310.3362,F,Strong,"This paper introduces a method for coarse-graining spin networks in loop quantum gravity by focusing on a bounded region of a graph and effectively reducing it to a single vertex. The central finding is that this process naturally leads to a relaxation of the closure constraint, resulting in a 'closure defect'. This defect is interpreted as a local measure of the curvature within the coarse-grained region, directly corresponding to the concept of a 'route mismatch' (Signature F). The work extensively analyzes the mathematical structure of this defect and its relationship to the boundary observables. While the paper does not explicitly use the terms 'nested idempotents' or 'graph cohomology', its discussion of U(N) transformations and holonomies around loops is foundational to these concepts. The framework is presented as a necessary step for studying the renormalization flow of loop gravity, hinting at a connection to dynamics-induced completion and generic extensions, but these are not fully developed. The primary and most significant overlap is the detailed and explicit treatment of the closure defect.","1. Holonomy spin foam models: Definition and coarse graining - https://link.aps.org/doi/10.1103/PhysRevD.87.044048
2. Spin network entanglement: coarse-graining - https://arxiv.org/abs/2205.11205
3. Coarse Graining Spin Foam Quantum Gravity—A Review - https://www.frontiersin.org/articles/10.3389/fphy.2020.00295/full",
protocol holonomy defect of composition path dependence,protocol holonomy defect of composition path dependence,1,"Clock-Comparison Holonomy: Emergent Geometry, Gravitons, and Non-Geometric Phases from Operational Coherence Defects",Andrei Patrascu,2025,https://www.researchgate.net/publication/399067669_Clock-Comparison_Holonomy_Emergent_Geometry_Gravitons_and_Non-Geometric_Phases_from_Operational_Coherence_Defects,"B, C, D, E, F",Strong,"The paper ""Clock-Comparison Holonomy: Emergent Geometry, Gravitons, and Non-Geometric Phases from Operational Coherence Defects"" proposes an operational framework where spacetime geometry emerges from the coherence properties of clock comparisons. The central mathematical construct is the clock-comparison holonomy, which is defined as the loop non-closure of a directed transport structure, providing a gauge-invariant notion of coherence defect (Signature F). The framework explicitly addresses the composition of these transport channels, which is shown to induce path dependence through convolution of kernels. The existence of a geometric spacetime description is contingent on the loop defects admitting a small-loop area law, which relates to the concept of strictification or completion (Signature B, E). Furthermore, the framework predicts non-geometric phases characterized by long-memory behavior and path-ordering sensitivity, which strongly aligns with the concept of path-space KL irreversibility (Signature C). The discussion of ""violations of higher (tetrahedral) coherence identities"" suggests a connection to topological structures, potentially related to graph cohomology (Signature D). This work provides a highly relevant mathematical structure for modeling the interplay between protocol, path dependence, and emergent geometry.","1. Logical Curvature and the Last Consistent Path: A Unified Framework for Quantum Structure, Gravity, and Wavefunction Collapse (https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5876303)
2. Gerbe-holonomy for surfaces with defect networks (https://projecteuclid.org/journals/advances-in-theoretical-and-mathematical-physics/volume-13/issue-4/Gerbe-holonomy-for-surfaces-with-defect-networks/atmp/1278423132.full)",
order of elimination matters renormalization scheme dependence,order of elimination matters renormalization scheme dependence,1,Systematic All-Orders Method to Eliminate Renormalization-Scale and Scheme Ambiguities in Perturbative QCD,"Matin Mojaza, Stanley J. Brodsky, Xing-Gang Wu",2013,https://arxiv.org/abs/1212.0049,"A, B, C",Weak,"The top candidate paper, ""Systematic All-Orders Method to Eliminate Renormalization-Scale and Scheme Ambiguities in Perturbative QCD,"" by Mojaza, Brodsky, and Wu, introduces the Principle of Maximum Conformality (PMC) as a method to address ambiguities in perturbative QCD. The PMC provides a systematic, order-by-order procedure to determine the argument of the running coupling, aiming to improve the precision of theoretical predictions. While the paper does not explicitly mention the mathematical signatures A-F, a broader search for connections between PMC and these concepts reveals some potential, albeit weak, overlaps. The concept of idempotents (Signature A) has been discussed in the context of PMC in other works, suggesting a possible link. Similarly, the idea of 'completion' (Signature B) and 'path-dependence' (related to Signature C) have appeared in literature discussing PMC, hinting at a loose connection. However, no direct evidence linking PMC to graph cohomology (D), generic extension/definability (E), or route mismatch (F) was found. Therefore, the match is considered weak and requires further investigation to be substantiated.","1. Achieving Effective Renormalization Scale and Scheme ... - https://arxiv.org/pdf/2005.11783
2. Renormalization scheme dependence and the ... - APS Journals - https://link.aps.org/doi/10.1103/PhysRevD.95.116013
3. Review The renormalization scale-setting problem in QCD - https://www.sciencedirect.com/science/article/abs/pii/S0146641013000574",
random predicate not definable finite structure,"""random predicate not definable finite structure""",4,Non-Definability Results for Randomised First-Order Logic,Kord Eickmeyer,2011,https://drops.dagstuhl.de/storage/00lipics/lipics-vol012-csl2011/LIPIcs.CSL.2011.218/LIPIcs.CSL.2011.218.pdf,E,Strong,"This paper investigates the expressive power and non-definability results for randomised first-order logic (BPFO) on restricted classes of finite structures. The work directly addresses the core concept of the search query by exploring the limits of what can be defined in a logic that incorporates a random element over finite domains. The author proves that certain properties, such as the evenness of a linear order and graph connectivity, cannot be defined in BPFO, even though BPFO is generally more expressive than standard first-order logic. This establishment of non-definability within a randomized logical framework over finite structures is a strong match for Signature E, **generic extension/definability**. The findings contribute to finite model theory by separating complexity classes and clarifying the expressive boundaries of logics with probabilistic components. The technical approach leverages derandomisation results and connections between BPFO and complexity classes like BPP.","1. The decision problem for the probabilities of higher-order properties (https://dl.acm.org/doi/abs/10.1145/28395.28441)
2. Probabilities of first-order sentences on sparse random relational structures: An application to definability on random CNF formulas (https://academic.oup.com/logcom/article-abstract/31/2/444/5941639)
3. First order complexity of finite random structures (https://dl.acm.org/doi/abs/10.1145/3661814.3662127)",
